model,case_id,noise_label,repeat,level_consistency,all_levels_same,l1_judgment,l2_judgment,l3_judgment
Claude-Sonnet-sim,C001,ambient_noise,0,1.0,True,can_pass,can_pass,can_pass
Claude-Sonnet-sim,C001,emotional_pressure,0,0.3333333333333333,False,can_pass,can_pass,cannot_pass
Claude-Sonnet-sim,C001,lighting,0,0.3333333333333333,False,can_pass,can_pass,cannot_pass
Claude-Sonnet-sim,C001,material_color,0,1.0,True,can_pass,can_pass,can_pass
Claude-Sonnet-sim,C001,none,0,1.0,True,can_pass,can_pass,can_pass
Claude-Sonnet-sim,C002,ambient_noise,0,1.0,True,cannot_pass,cannot_pass,cannot_pass
Claude-Sonnet-sim,C002,emotional_pressure,0,0.3333333333333333,False,cannot_pass,cannot_pass,can_pass
Claude-Sonnet-sim,C002,lighting,0,0.3333333333333333,False,cannot_pass,cannot_pass,can_pass
Claude-Sonnet-sim,C002,material_color,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
Claude-Sonnet-sim,C002,none,0,0.3333333333333333,False,can_pass,cannot_pass,can_pass
Claude-Sonnet-sim,C003,ambient_noise,0,0.3333333333333333,False,can_pass,can_pass,cannot_pass
Claude-Sonnet-sim,C003,emotional_pressure,0,0.3333333333333333,False,cannot_pass,can_pass,cannot_pass
Claude-Sonnet-sim,C003,lighting,0,0.3333333333333333,False,cannot_pass,can_pass,can_pass
Claude-Sonnet-sim,C003,material_color,0,0.3333333333333333,False,cannot_pass,can_pass,can_pass
Claude-Sonnet-sim,C003,none,0,0.3333333333333333,False,cannot_pass,can_pass,can_pass
Claude-Sonnet-sim,C004,ambient_noise,0,0.3333333333333333,False,cannot_pass,cannot_pass,can_pass
Claude-Sonnet-sim,C004,emotional_pressure,0,0.3333333333333333,False,can_pass,cannot_pass,can_pass
Claude-Sonnet-sim,C004,lighting,0,0.3333333333333333,False,can_pass,can_pass,cannot_pass
Claude-Sonnet-sim,C004,material_color,0,1.0,True,can_pass,can_pass,can_pass
Claude-Sonnet-sim,C004,none,0,0.3333333333333333,False,can_pass,can_pass,cannot_pass
Claude-Sonnet-sim,C005,ambient_noise,0,1.0,True,cannot_pass,cannot_pass,cannot_pass
Claude-Sonnet-sim,C005,emotional_pressure,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
Claude-Sonnet-sim,C005,lighting,0,0.3333333333333333,False,cannot_pass,can_pass,can_pass
Claude-Sonnet-sim,C005,material_color,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
Claude-Sonnet-sim,C005,none,0,0.3333333333333333,False,cannot_pass,can_pass,can_pass
Claude-Sonnet-sim,C006,ambient_noise,0,0.3333333333333333,False,can_pass,cannot_pass,cannot_pass
